<eResourceEntry  timestamp='1391002056538' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1391004304966' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391021280391' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391021283605' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391021356997' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391021359430' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391021421495' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391021423054' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391021590309' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391021591869' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391021672722' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391021674288' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391021708610' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391021710190' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391021726157' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391021727701' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391021741264' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1391021741272' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1391021741275' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391021741279' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1391072969140' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391072970977' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391074889908' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391074891463' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
<eObjectEntry  timestamp='1391075262447' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391075264938' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391075270143' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391075277398' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391075316236' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391075317753' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
<eObjectEntry  timestamp='1391075342464' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391075345985' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
